topology,node,node_type,attacker,n_intervals,mean_score,std_score,det_30pct,det_50pct,fpr_30pct,fpr_50pct
tree,c1,consumer,True,294,18.73,13.54,89.46,91.16,0.19,1.08
tree,c2,consumer,False,294,51.73,10.32,1.02,51.36,0.25,1.2
tree,c3,consumer,False,294,49.94,10.09,2.72,54.76,0.32,1.27
tree,c4,consumer,False,294,50.46,9.26,1.02,56.12,0.38,1.14
tree,c5,consumer,False,293,50.07,10.45,3.41,54.61,0.51,2.34
tree,c6,consumer,False,293,49.68,9.72,1.71,58.02,0.32,1.39
tree,p1,producer,False,294,39.02,6.01,1.02,90.48,0.32,1.14
tree,p2,producer,False,293,51.32,5.73,0.68,34.13,0.38,0.82
tree,r1,router,False,293,26.68,13.58,88.4,90.1,1.14,3.23
tree,r2,router,False,293,25.7,13.84,88.4,90.1,0.89,2.6
tree,r3,router,False,293,56.78,9.49,1.71,20.14,1.01,3.11
tree,r4,router,False,292,57.55,9.28,1.37,17.81,1.27,3.04
dumbbell,c1,consumer,True,537,15.11,9.33,98.7,98.7,1.0,4.27
dumbbell,c2,consumer,False,537,74.6,9.36,0.74,2.61,1.42,4.69
dumbbell,c3,consumer,False,537,73.1,10.94,0.74,4.84,1.58,6.06
dumbbell,p1,producer,False,537,48.6,7.5,2.42,64.8,0.26,1.69
dumbbell,p2,producer,False,537,82.5,9.93,0.74,2.23,0.42,2.58
dumbbell,r1,router,False,537,22.47,9.76,98.7,98.7,1.05,7.74
dumbbell,r2,router,False,537,22.92,9.94,98.7,98.7,0.79,2.69
dumbbell,r3,router,False,537,26.02,9.89,98.32,98.7,0.95,4.58
dumbbell,r4,router,False,537,84.59,12.45,0.93,2.05,0.42,2.63
dumbbell,bottleneck,bottleneck,False,537,24.67,9.83,98.7,98.7,0.16,2.53
dfn,c1,consumer,True,601,18.37,12.46,96.67,96.84,0.64,4.1
dfn,c2,consumer,False,601,73.47,11.84,1.16,4.83,1.2,3.47
dfn,c3,consumer,False,601,74.73,10.4,0.83,2.33,0.5,3.04
dfn,c4,consumer,False,601,74.54,11.04,1.16,3.66,0.92,3.39
dfn,c5,consumer,False,601,71.7,12.04,2.16,5.49,1.27,3.96
dfn,c6,consumer,False,601,72.31,12.97,2.16,6.82,0.71,3.25
dfn,p1,producer,False,600,50.86,9.12,2.5,43.33,0.85,2.55
dfn,p2,producer,False,600,85.38,11.47,0.83,2.33,0.57,1.91
dfn,r1,router,False,600,25.81,12.88,96.67,97.0,3.89,12.53
dfn,r2,router,False,600,24.72,13.0,96.83,97.0,2.97,11.32
dfn,r3,router,False,600,84.18,18.91,1.33,8.83,3.4,11.18
dfn,r4,router,False,600,84.09,17.98,1.33,7.17,3.33,11.96
